Time	Modified Avg X
0.000000000000000000e+00	-2.499999999999983832e-02
2.002456739648927897e-02	-2.565475333333326266e-02
4.004913479297855794e-02	-2.780767333333322711e-02
6.007370218946783691e-02	-2.760024999999980896e-02
8.009826958595711588e-02	-1.991800333333312162e-02
1.001228369824463810e-01	-1.756878666666665187e-02
1.201474043789356738e-01	-2.351892000000003688e-02
1.401719717754249528e-01	-2.507757999999989801e-02
1.601965391719142318e-01	-1.828582999999994740e-02
1.802211065684035107e-01	-1.068583999999983547e-02
2.002456739648927619e-01	-3.421426666666560479e-03
2.202702413613820687e-01	5.477546666666777142e-03
2.402948087578713476e-01	1.209862999999996268e-02
2.603193761543606266e-01	1.737106000000025394e-02
2.803439435508499056e-01	3.157246000000002439e-02
3.003685109473391290e-01	4.220215333333351276e-02
3.203930783438284635e-01	5.682515999999989548e-02
3.404176457403177425e-01	7.314371999999995377e-02
3.604422131368070215e-01	9.110438666666684226e-02
3.804667805332962449e-01	1.083845700000000550e-01
4.004913479297855239e-01	1.254114300000001569e-01
4.205159153262748029e-01	1.433919666666668424e-01
4.405404827227641373e-01	1.608785800000001043e-01
4.605650501192534163e-01	1.795878800000002273e-01
4.805896175157426953e-01	2.002639366666666143e-01
5.006141849122318632e-01	2.186440233333334926e-01
5.206387523087212532e-01	2.388889400000001328e-01
5.406633197052105322e-01	2.591094166666667031e-01
5.606878871016998112e-01	2.808498133333333646e-01
5.807124544981890901e-01	3.035897800000001978e-01
6.007370218946782581e-01	3.253009733333334097e-01
6.207615892911675370e-01	3.479799433333334302e-01
6.407861566876569270e-01	3.701745266666667256e-01
6.608107240841462060e-01	3.922057933333333857e-01
6.808352914806354850e-01	4.162234866666666422e-01
7.008598588771246529e-01	4.385138366666667120e-01
7.208844262736140429e-01	4.616815633333334334e-01
7.409089936701033219e-01	4.857840933333334998e-01
7.609335610665924898e-01	5.090309000000000639e-01
7.809581284630818798e-01	5.325699633333332850e-01
8.009826958595710478e-01	5.601130733333333778e-01
8.210072632560604378e-01	5.895134600000000447e-01
8.410318306525496057e-01	6.182973400000002506e-01
8.610563980490388847e-01	6.493314900000002332e-01
8.810809654455282747e-01	6.801460966666669217e-01
9.011055328420174426e-01	7.105530100000001514e-01
9.211301002385068326e-01	7.403352666666667137e-01
9.411546676349960006e-01	7.698896333333334896e-01
9.611792350314853906e-01	7.990422633333335023e-01
9.812038024279746695e-01	8.277109066666665793e-01
1.001228369824463726e+00	8.560769566666667219e-01
1.021252937220953116e+00	8.840323300000001439e-01
1.041277504617442506e+00	9.116956400000002514e-01
1.061302072013931896e+00	9.389357566666667321e-01
1.081326639410421064e+00	9.658812300000001461e-01
1.101351206806910232e+00	9.924968866666669109e-01
1.121375774203399622e+00	1.018798033333333519e+00
1.141400341599888790e+00	1.044157226666666993e+00
1.161424908996378180e+00	1.069912790000000280e+00
1.181449476392867348e+00	1.095542986666666607e+00
1.201474043789356516e+00	1.120986820000000384e+00
1.221498611185845906e+00	1.146317006666667027e+00
1.241523178582335074e+00	1.174650866666666627e+00
1.261547745978824464e+00	1.202576440000000302e+00
1.281572313375313854e+00	1.230140406666666575e+00
1.301596880771803022e+00	1.258687656666666932e+00
1.321621448168292412e+00	1.287695050000000396e+00
1.341646015564781580e+00	1.317373793333333376e+00
1.361670582961270970e+00	1.347886399999999929e+00
1.381695150357760138e+00	1.375699933333333069e+00
1.401719717754249306e+00	1.409068600000000560e+00
1.421744285150738696e+00	1.439420866666667242e+00
1.441768852547228086e+00	1.471219133333333540e+00
1.461793419943717254e+00	1.502933566666666998e+00
1.481817987340206644e+00	1.535322333333333678e+00
1.501842554736695812e+00	1.566733200000000048e+00
1.521867122133184980e+00	1.598533866666666858e+00
1.541891689529674592e+00	1.631677233333333366e+00
1.561916256926163760e+00	1.663734200000000385e+00
1.581940824322652928e+00	1.695484400000000003e+00
1.601965391719142096e+00	1.727868399999999971e+00
1.621989959115631263e+00	1.760668833333333128e+00
1.642014526512120876e+00	1.793268200000000423e+00
1.662039093908610043e+00	1.825360933333333602e+00
1.682063661305099211e+00	1.856811933333333720e+00
1.702088228701588601e+00	1.887498366666667149e+00
1.722112796098077769e+00	1.918396633333333545e+00
1.742137363494567159e+00	1.949157599999999713e+00
1.762161930891056549e+00	1.979412516666666511e+00
1.782186498287545717e+00	2.008952166666666095e+00
1.802211065684034885e+00	2.037853083333333259e+00
1.822235633080524053e+00	2.066658616666666948e+00
1.842260200477013665e+00	2.100902666666666807e+00
1.862284767873502833e+00	2.136274466666666871e+00
1.882309335269992001e+00	2.173163366666666541e+00
1.902333902666481391e+00	2.208023733333333460e+00
